apex_deg,AR,Kp,Kv,alpha_deg,CL,CD,L_over_D
45,1.657,2.265,3.142,0,0,0.04,0
45,1.657,2.265,3.142,2,0.054,0.0408,1.3236
45,1.657,2.265,3.142,4,0.1121,0.0432,2.5954
45,1.657,2.265,3.142,6,0.1739,0.0474,3.6677
45,1.657,2.265,3.142,8,0.2391,0.0536,4.4566
45,1.657,2.265,3.142,10,0.3069,0.062,4.9528
45,1.657,2.265,3.142,12,0.3771,0.0725,5.198
45,1.657,2.265,3.142,14,0.4489,0.0854,5.2537
45,1.657,2.265,3.142,16,0.5218,0.1007,5.1791
45,1.657,2.265,3.142,18,0.5952,0.1185,5.0219
45,1.657,2.265,3.142,20,0.6685,0.1388,4.8167
45,1.657,2.265,3.142,22,0.7411,0.1616,4.5869
45,1.657,2.265,3.142,24,0.8123,0.1868,4.3478
45,1.657,2.265,3.142,26,0.8817,0.2146,4.1087
45,1.657,2.265,3.142,28,0.9486,0.2448,3.8753
45,1.657,2.265,3.142,30,1.0124,0.2773,3.6508
45,1.657,2.265,3.142,32,1.0726,0.3121,3.4365
45,1.657,2.265,3.142,34,1.1286,0.3491,3.2332
45,1.657,2.265,3.142,36,1.18,0.3881,3.0407
45,1.657,2.265,3.142,38,1.2264,0.429,2.8586
45,1.657,2.265,3.142,40,1.2672,0.4717,2.6864
45,1.657,2.265,3.142,42,1.3022,0.516,2.5235
45,1.657,2.265,3.142,44,1.3309,0.5618,2.369
45,1.657,2.265,3.142,46,1.3533,0.6089,2.2223
45,1.657,2.265,3.142,48,1.3689,0.6573,2.0828
45,1.657,2.265,3.142,50,1.3777,0.7066,1.9498
45,1.657,2.265,3.142,52,1.3795,0.7569,1.8226
45,1.657,2.265,3.142,54,1.3717,0.8065,1.7008
45,1.657,2.265,3.142,56,1.3533,0.8545,1.5836
45,1.657,2.265,3.142,58,1.3244,0.9005,1.4707
45,1.657,2.265,3.142,60,1.2854,0.9439,1.3618
45,1.657,2.265,3.142,62,1.2366,0.9842,1.2564
45,1.657,2.265,3.142,64,1.1787,1.0212,1.1543
45,1.657,2.265,3.142,66,1.1123,1.0543,1.055
45,1.657,2.265,3.142,68,1.0381,1.0832,0.9584
45,1.657,2.265,3.142,70,0.957,1.1076,0.8641
45,1.657,2.265,3.142,72,0.8701,1.1272,0.7719
45,1.657,2.265,3.142,74,0.7782,1.1418,0.6815
45,1.657,2.265,3.142,76,0.6824,1.1512,0.5928
45,1.657,2.265,3.142,78,0.584,1.1554,0.5054
45,1.657,2.265,3.142,80,0.4839,1.1542,0.4193
45,1.657,2.265,3.142,82,0.3835,1.1477,0.3341
45,1.657,2.265,3.142,84,0.2837,1.1359,0.2498
45,1.657,2.265,3.142,86,0.1858,1.119,0.1661
45,1.657,2.265,3.142,88,0.0909,1.097,0.0829
45,1.657,2.265,3.142,90,0,1.26,0
60,2.309,2.870,3.142,0,0,0.04,0
60,2.309,2.870,3.142,2,0.0611,0.0409,1.4934
60,2.309,2.870,3.142,4,0.1259,0.0438,2.8758
60,2.309,2.870,3.142,6,0.1938,0.0487,3.9784
60,2.309,2.870,3.142,8,0.2645,0.0559,4.7304
60,2.309,2.870,3.142,10,0.3373,0.0655,5.1528
60,2.309,2.870,3.142,12,0.4116,0.0774,5.315
60,2.309,2.870,3.142,14,0.487,0.092,5.2954
60,2.309,2.870,3.142,16,0.5628,0.1091,5.1601
60,2.309,2.870,3.142,18,0.6385,0.1288,4.9575
60,2.309,2.870,3.142,20,0.7133,0.1511,4.7202
60,2.309,2.870,3.142,22,0.7868,0.176,4.469
60,2.309,2.870,3.142,24,0.8582,0.2035,4.2164
60,2.309,2.870,3.142,26,0.9271,0.2335,3.9699
60,2.309,2.870,3.142,28,0.9928,0.2659,3.7333
60,2.309,2.870,3.142,30,1.0549,0.3007,3.5085
60,2.309,2.870,3.142,32,1.1128,0.3376,3.2961
60,2.309,2.870,3.142,34,1.166,0.3766,3.096
60,2.309,2.870,3.142,36,1.2141,0.4175,2.9078
60,2.309,2.870,3.142,38,1.2567,0.4602,2.7306
60,2.309,2.870,3.142,40,1.2934,0.5045,2.5637
60,2.309,2.870,3.142,42,1.324,0.5502,2.4062
60,2.309,2.870,3.142,44,1.348,0.5972,2.2574
60,2.309,2.870,3.142,46,1.3655,0.6452,2.1164
60,2.309,2.870,3.142,48,1.3761,0.6941,1.9825
60,2.309,2.870,3.142,50,1.3798,0.7438,1.8551
60,2.309,2.870,3.142,52,1.3749,0.7932,1.7334
60,2.309,2.870,3.142,54,1.3597,0.841,1.6168
60,2.309,2.870,3.142,56,1.3342,0.8866,1.5049
60,2.309,2.870,3.142,58,1.2989,0.9296,1.3972
60,2.309,2.870,3.142,60,1.254,0.9696,1.2933
60,2.309,2.870,3.142,62,1.2002,1.0061,1.1929
60,2.309,2.870,3.142,64,1.138,1.0387,1.0957
60,2.309,2.870,3.142,66,1.0684,1.067,1.0013
60,2.309,2.870,3.142,68,0.9919,1.0908,0.9094
60,2.309,2.870,3.142,70,0.9097,1.1097,0.8197
60,2.309,2.870,3.142,72,0.8226,1.1236,0.7321
60,2.309,2.870,3.142,74,0.7318,1.1323,0.6463
60,2.309,2.870,3.142,76,0.6382,1.1356,0.562
60,2.309,2.870,3.142,78,0.5431,1.1336,0.4791
60,2.309,2.870,3.142,80,0.4475,1.1261,0.3973
60,2.309,2.870,3.142,82,0.3525,1.1133,0.3166
60,2.309,2.870,3.142,84,0.2592,1.0954,0.2366
60,2.309,2.870,3.142,86,0.1687,1.0723,0.1573
60,2.309,2.870,3.142,88,0.082,1.0445,0.0785
60,2.309,2.870,3.142,90,0,1.26,0
